player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
L. Hernández,Bayern Munich,Defender,0,0,0,0,6,1,4,1,49,6,3,15,11,6,2,0,543,496,8,3,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,572,8,69.4
Süle,Bayern Munich,Defender,0,0,0,0,3,0,3,0,40,1,2,12,4,2,0,0,429,413,2,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,515,7,61.4
Upamecano,Bayern Munich,Defender,0,0,0,0,2,0,1,1,46,1,3,16,10,5,3,0,562,519,2,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,660,8,82.3
Sarr,Bayern Munich,Defender,0,0,0,0,2,0,1,1,3,1,0,1,3,3,1,0,72,62,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,125,5,17.3
Richards,Bayern Munich,Defender,0,0,0,0,0,0,0,0,9,2,6,1,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,8.5
Marc Roca,Bayern Munich,Defender,0,0,0,0,0,0,0,0,6,0,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,78,4,11.6
Müller,Bayern Munich,Forward,3,10,8,2,14,8,3,3,18,3,5,2,11,3,0,0,366,283,25,7,1,10,0,0,0,0,0,4,1,2,1,0,3,1,0,778,10,98.5
Coman,Bayern Munich,Forward,3,4,4,59,20,6,10,4,14,0,2,4,6,16,1,0,329,271,42,13,0,9,0,0,0,0,0,2,1,1,0,0,2,0,0,632,9,76.3
Lewandowski,Bayern Munich,Forward,3,0,7,1,31,19,8,4,7,0,4,0,11,13,1,0,206,163,10,1,1,10,0,0,0,0,0,13,8,3,1,1,13,0,3,876,10,99.7
Gnabry,Bayern Munich,Forward,2,3,0,12,18,8,6,4,14,1,1,0,3,1,0,0,231,194,10,2,0,8,0,0,0,0,0,3,2,0,0,0,3,0,0,391,8,46.7
Neuer,Bayern Munich,Goalkeeper,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,352,318,0,0,8,0,14,6,0,4,1,0,0,0,0,0,0,0,0,810,9,51.2
Ulreich,Bayern Munich,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,0,0,1,0,4,1,0,0,2,0,0,0,0,0,0,0,0,90,1,6.2
Sané,Bayern Munich,Midfielder,6,3,3,32,33,13,12,8,23,0,1,0,2,5,0,0,398,346,19,5,8,10,0,0,0,0,0,6,1,5,0,0,3,3,0,798,10,94
Davies,Bayern Munich,Midfielder,2,0,0,18,7,2,3,2,24,2,2,4,7,4,0,0,278,236,15,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,477,7,61.4
Musiala,Bayern Munich,Midfielder,1,0,1,20,10,3,2,5,17,1,1,1,5,5,0,0,168,141,2,0,0,8,0,0,0,0,0,1,0,1,0,0,1,0,0,448,8,59
Tolisso,Bayern Munich,Midfielder,1,0,0,0,4,2,2,0,15,2,1,2,5,3,0,0,197,178,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,234,4,31.3
Goretzka,Bayern Munich,Midfielder,0,0,0,0,16,3,7,6,35,5,3,6,7,4,0,0,338,307,3,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,466,6,59.3
Kimmich,Bayern Munich,Midfielder,0,0,0,0,8,2,2,4,41,6,9,3,3,17,1,0,688,616,48,17,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,702,8,96.4
Sabitzer,Bayern Munich,Midfielder,0,0,0,0,5,0,4,1,7,0,1,0,3,0,1,0,83,72,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,133,5,19.6
Choupo-Moting,Bayern Munich,Midfielder,0,0,0,0,3,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,49,4,6.7
Nianzou,Bayern Munich,Midfielder,0,0,0,0,0,0,0,0,16,2,2,1,6,2,1,0,199,192,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,212,4,25.4
Tillman,Bayern Munich,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,3.6
Grimaldo,Benfica,Defender,3,11,1,10,3,1,1,1,34,6,9,24,5,9,2,0,319,257,34,14,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,863,10,107.7
Vertonghen,Benfica,Defender,1,0,0,3,7,2,3,2,51,6,3,51,5,4,0,0,424,360,1,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,900,10,97.9
Otamendi,Benfica,Defender,0,0,0,0,4,1,3,0,63,17,11,48,17,11,2,0,380,328,1,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,810,9,91.2
Gilberto,Benfica,Defender,0,0,0,0,3,1,0,2,48,8,9,17,16,13,1,0,291,232,13,4,9,9,0,0,0,0,0,1,1,0,0,0,1,0,0,715,9,85.7
